"IDOLort6",0.008367,0.003952,0.000418,0.013316,0.022656,0.002086,0.007209,0.003497,0.014754,0.001584,0.020504,0.003893,0.006425,0.005882,0.022694,0.006429,0.001161,0.007633,0.003280,0.015288,0.048693,0.001096,0.012253,0.012263,0.000000,0.000000,0.004808,0.001840,0.002339,0.021439,0.045122,0.000792,0.012404,0.007040,0.001607,0.006256,0.014158,0.005725,0.002144,0.018659,0.006703,0.006088,0.007389,0.010218,0.004926,0.012493,0.000854,0.006099,0.016384,0.003493,0.030162,0.010604,0.000797,0.005027,0.007965,0.011150,0.010931,0.001318,0.002686,0.049361,0.009690,0.011481,0.014448,0.006195,0.002706,0.000805,0.021573,0.010858,0.003139,0.050476,0.005172,0.014714,0.004023,0.020938,0.007655,0.000599,0.015103,0.055119,0.001796,0.010718,0.000000,0.000143,0.004760,0.002140,0.035901,0.006555,0.030873,0.028454,0.001719,0.025952,0.001977,0.000000,

"db7crsh01",0.003983,0.001837,0.002491,0.005622,0.018110,0.025358,0.007755,0.006828,0.002613,0.012264,0.031347,0.000856,0.008528,0.004180,0.004529,0.003064,0.016761,0.004138,0.001920,0.004250,0.015040,0.007537,0.015726,0.027546,0.006009,0.000000,0.007188,0.000985,0.015417,0.014801,0.019388,0.006300,0.002172,0.007663,0.009886,0.000634,0.032364,0.003021,0.002562,0.017051,0.022920,0.003214,0.034444,0.025811,0.002857,0.002727,0.000522,0.005357,0.053265,0.001632,0.007254,0.023383,0.000545,0.004750,0.006556,0.038271,0.011617,0.000916,0.012384,0.030554,0.002277,0.011874,0.002271,0.002114,0.005425,0.005150,0.008830,0.001096,0.010888,0.032786,0.000808,0.017376,0.002490,0.003663,0.005117,0.000000,0.021262,0.043378,0.000000,0.002540,0.000000,0.046670,0.026216,0.002041,0.002341,0.010285,0.032685,0.002835,0.001643,0.001790,0.005462,0.021982,

"ISH1987GifuKani",0.031953,0.005448,0.001048,0.005595,0.025020,0.002533,0.015268,0.002599,0.017744,0.013158,0.045429,0.001685,0.017123,0.000763,0.001816,0.006632,0.007816,0.003297,0.001844,0.007030,0.050662,0.000970,0.007125,0.009310,0.004269,0.000000,0.004015,0.000000,0.011788,0.004995,0.038167,0.001551,0.003537,0.004019,0.001702,0.003271,0.002548,0.005347,0.006685,0.011916,0.008458,0.003903,0.010986,0.016353,0.016250,0.001775,0.001991,0.018736,0.024031,0.005164,0.001700,0.034646,0.001335,0.004719,0.009030,0.021722,0.022346,0.006016,0.002946,0.010928,0.006712,0.008295,0.004368,0.001462,0.004732,0.003290,0.019768,0.007867,0.003936,0.040029,0.016447,0.004709,0.001781,0.014759,0.004919,0.003630,0.014815,0.039069,0.000795,0.007962,0.002777,0.039468,0.006232,0.003309,0.000241,0.000848,0.083857,0.019819,0.004338,0.011216,0.001750,0.008087,

"sasuraifutsaler",0.014717,0.009552,0.007768,0.003689,0.001448,0.001536,0.012927,0.003978,0.019902,0.021197,0.006249,0.010266,0.016208,0.000615,0.002553,0.001755,0.002133,0.003778,0.015314,0.009203,0.053962,0.008233,0.023394,0.014853,0.002666,0.006736,0.017913,0.000880,0.003932,0.003591,0.037203,0.016368,0.009128,0.017618,0.003601,0.004178,0.001260,0.004367,0.002412,0.009063,0.003761,0.002491,0.005723,0.020999,0.023937,0.023901,0.000954,0.005598,0.016724,0.006711,0.005548,0.056731,0.003758,0.009744,0.010077,0.011078,0.028307,0.001083,0.004135,0.000000,0.003094,0.022310,0.000847,0.002377,0.002330,0.012690,0.014145,0.005835,0.001930,0.046233,0.008403,0.030529,0.000551,0.004932,0.000496,0.003363,0.040655,0.011466,0.001990,0.034762,0.000377,0.068502,0.005046,0.001455,0.005315,0.010845,0.000205,0.004976,0.002457,0.001681,0.000408,0.002395,

"retired_46",0.051441,0.005823,0.002608,0.003808,0.034450,0.003950,0.023869,0.003540,0.010194,0.007415,0.021922,0.003538,0.007416,0.001132,0.004532,0.004420,0.002807,0.001197,0.079108,0.012692,0.043653,0.000246,0.007549,0.010280,0.003353,0.019178,0.012509,0.009472,0.005530,0.012644,0.012642,0.001605,0.003752,0.006135,0.008491,0.016242,0.000159,0.006162,0.003496,0.025668,0.007661,0.003824,0.005095,0.014255,0.013727,0.012375,0.001047,0.007984,0.014826,0.002918,0.005849,0.025366,0.003425,0.011893,0.003489,0.005824,0.013932,0.003257,0.003982,0.000000,0.010363,0.005918,0.001635,0.000987,0.003487,0.003727,0.024747,0.015830,0.001410,0.042519,0.011385,0.011125,0.002039,0.038023,0.001624,0.005303,0.010160,0.048448,0.000000,0.002589,0.000000,0.005138,0.006329,0.001135,0.000655,0.003824,0.049684,0.019829,0.002784,0.009054,0.004041,0.000852,

